Model,EndOfUpdates,Make
AC700,Aug-16,Acer
C7 Chromebook,Oct-17,Acer
Chromebook Tab 10,Aug-23,Acer
"Chromebook 11 (C720, C720P)",Jun-19,Acer
Chromebook 11 (C740),Jun-21,Acer
"Chromebook 11 (CB3-111, C730, C730E)",Aug-19,Acer
"Chromebook 11 (CB3-131, C735)",Sep-21,Acer
"Chromebook 11 N7 (C731, C731T)",Jun-22,Acer
"Chromebook 11 (CB311-8H, CB311-8HT)",Jun-24,Acer
"Chromebook 11 (C732, C732T, C732L, C732LT)",Jun-24,Acer
"Chromebook 11 (C771, C771T)",Jun-23,Acer
Chromebook 311 (C721),Jun-26,Acer
"Chromebook 311 (C733, C733U, C733T)    ",Jun-26,Acer
Chromebook 314 (CB314),Jun-26,Acer
"Chromebook 315 (CB 315, CB315-2H)",Jun-26,Acer
"Chromebook 512 (C851, C851T)",Jun-26,Acer
"Chromebook 13 (CB5-311, C810)",Sep-19,Acer
Chromebook 13 (CB713-1W),Jun-25,Acer
Chromebook 14 (CB3-431),Jun-22,Acer
Chromebook 14 for Work (CP5-471),Jun-23,Acer
Chromebook 514,Jun-24,Acer
"Chromebook 15 (CB5-571, C910)",Jun-21,Acer
Chromebook 15 (CB3-531),Sep-21,Acer
Chromebook 15 (CB3-532),Jun-22,Acer
"Chromebook 15 (CB315-1H, CB315-1HT)",Jun-24,Acer
"Chromebook 15 (CB515-1H, CB515-1HT)",Jun-24,Acer
Chromebook 714 (CB714-1W / CB714-1WT)    ,Jun-25,Acer
Chromebook 715 (CB715-1W / CB715-1WT),Jun-25,Acer
"Chromebook R11 (CB5-132T, C738T)",Jun-22,Acer
Chromebook Spin 11 (R751T),Jun-24,Acer
"Chromebook Spin 11 (CP311-H1, CP311-1HN)",Jun-24,Acer
Chromebook Spin 311 (R721T),Jun-26,Acer
"Chromebook Spin 511 (R752T, R752TN)",Jun-26,Acer
Chromebook Spin 512 (R851TN),Jun-26,Acer
Chromebook R13 (CB5-312T),Jun-24,Acer
Chromebook Spin 13 (CP713-1WN),Jun-25,Acer
Chromebook Spin 15 (CP315),Jun-24,Acer
Chromebox,Sep-19,Acer
Chromebox CXI2 / CXV2,Jun-21,Acer
Chromebox CXI3,Jun-25,Acer
Chromebase,Aug-20,Acer
Chromebase 24,Jun-21,Acer
Chromebase CA24I2 / CA24V2,Jun-25,Acer
Chromebase Commercial,Sep-21,Aopen
Chromebox Commercial,Sep-21,Aopen
Chromebox Commercial 2,Jun-25,Aopen
Chromebox Mini,Feb-22,Aopen
Chromebase Mini,Feb-22,Aopen
Chromebit CS10,Nov-20,Asus
Chromebook Tablet CT100,Aug-23,Asus
Chromebook C200,Jun-19,Asus
Chromebook C201PA,Jun-20,Asus
Chromebook C202SA,Jun-22,Asus
Chromebook C204,Jun-26,Asus
Chromebook C223,Jun-24,Asus
Chromebook C300,Aug-19,Asus
Chromebook C300SA / C301SA,Jun-22,Asus
Chromebook C403,Jun-24,Asus
Chromebook C423,Jun-24,Asus
Chromebook C425,Jun-26,Asus
Chromebook C523,Jun-24,Asus
Chromebook Flip C100PA,Jul-20,Asus
Chromebook Flip C101PA,Aug-23,Asus
Chromebook Flip C213,Jun-24,Asus
Chromebook Flip C214 ,Jun-26,Asus
Chromebook Flip C302,Jun-23,Asus
Chromebook Flip C433,Jun-26,Asus
Chromebook Flip C434,Jun-26,Asus
Chromebox (CN60),Sep-19,Asus
Chromebox 2 (CN62),Jun-21,Asus
Chromebox 3 (CN65),Jun-25,Asus
Chromebook 11,Sep-21,Bobicus
Chromebook Tablet Tx1 for Education,Aug-23,CTL
J2 / J4 Chromebook ,Jun-20,CTL
N6 Education Chromebook,Sep-21,CTL
J5 Chromebook,Jun-22,CTL
NL61 Chromebook,Jun-22,CTL
Chromebook NL7,Jun-24,CTL
Chromebook NL7T-360 / NL7TW-360,Jun-24,CTL
Chromebook J41 / J41T ,Jun-24,CTL
Chromebox CBx1,Jun-25,CTL
Chromebook 11,Jun-19,Dell
Chromebook 11 (3120),Sep-21,Dell
Chromebook 11 (3180),Jun-22,Dell
Chromebook 11 (5190),Jun-24,Dell
Chromebook 3100,Jun-26,Dell
Chromebook 11 2-in-1 (3189),Jun-22,Dell
Chromebook 11 2-in-1 (5190),Jun-24,Dell
Chromebook 3100 2-in-1,Jun-26,Dell
Chromebook 13 (7310),Jun-21,Dell
Chromebook 13 (3380),Jun-23,Dell
Chromebook 3400,Jun-26,Dell
Chromebox,Sep-19,Dell
Inspiron Chromebook 14 2-in-1 (7486),Jun-25,Dell
Latitude 5300 2-in-1 Chromebook Enterprise,Aug-26,Dell
Latitude 5400 Chromebook Enterprise,Aug-26,Dell
Chromebook R,Sep-21,EduGear
Chromebook K,Jun-20,EduGear
Chromebook M,Jun-20,EduGear
CMT Chromebook,Jun-22,EduGear
Chromebook,Sep-21,Edxis
Education Chromebook,Jun-20,Edxis
Education Chromebook (NL6),Sep-21,Edxis
Education Chromebook (NL6D),Jun-22,Edxis
Chromebook 11,Jun-24,Edxis
Chromebook x11,Jun-24,Edxis
Cr-48,Dec-15,Google
Chromebook Pixel,Jun-18,Google
Chromebook Pixel (2015),Jun-21,Google
Pixelbook,Jun-24,Google
Pixel Slate,Jun-26,Google
Pixelbook Go,Jun-26,Google
Chromebook 11,Jun-20,Haier
Chromebook 11e,Jun-20,Haier
Chromebook 11 G2,Sep-21,Haier
Chromebook 11 C,Jun-22,Haier
Chromebook Pi,Sep-21,HEXA
Chromebook 11,Jun-20,Hisense
Chromebook 11 G1,Oct-18,HP
Chromebook 11 G2,Jun-19,HP
Chromebook 11 G3,Sep-21,HP
Chromebook 11 G4/G4 EE,Sep-21,HP
Chromebook 11 G5,Jun-22,HP
Chromebook 11 G5 EE,Jun-22,HP
Chromebook 11 G6 EE,Jun-24,HP
Chromebook 11A G6 EE,Jun-26,HP
Chromebook 11 G7 EE,Jun-26,HP
Chromebook 11-ae0xx,Jun-24,HP
Chromebook 11-ae1xx,Jun-24,HP
Chromebook 11-bd0xxx,Jun-26,HP
Chromebook 11-v0xx,Jun-22,HP
Chromebook 12-f0xx,Jun-24,HP
Chromebook 13 G1,Jun-23,HP
Pavilion Chromebook 14,Feb-18,HP
Chromebook 14,Jun-19,HP
Chromebook 14 G3,Oct-19,HP
Chromebook 14 G4,Sep-21,HP
Chromebook 14 G5,Jun-24,HP
Chromebook 14A G5,Jun-26,HP
Chromebook 14-ca0xx,Jun-24,HP
Chromebook 14-ca1xx,Jun-24,HP
Chromebook 14-da0xxx,Jun-25,HP
Chromebook 14-db0xxx,Jun-26,HP
Chromebook 15-de0xxx,Jun-25,HP
Chromebook 15 G1,Jun-25,HP
Chromebook x2,Jun-24,HP
Chromebook x360 11 G1 EE,Jun-24,HP
Chromebook x360 11 G2 EE,Jun-26,HP
Chromebook x360 12b-ca0xxx,Jun-26,HP
Chromebook x360 14b-ca0xxx,Jun-26,HP
Chromebox G1,Sep-19,HP
Chromebox G2,Jun-25,HP
Chromebook x360 14 G1 ,Jun-25,HP
Xolo Chromebook,Jun-20,Lava
100S Chromebook,Sep-21,Lenovo
C340-15,Jun-25,Lenovo
C340-11,Jun-26,Lenovo
S340-14,Jun-26,Lenovo
Flex 11 Chromebook,Jun-25,Lenovo
N20 Chromebook,Jun-19,Lenovo
N21 Chromebook,Sep-21,Lenovo
N22 Chromebook,Jun-22,Lenovo
N23 Chromebook,Jun-22,Lenovo
100e Chromebook,Jun-24,Lenovo
100e Chromebook 2nd Gen,Jun-26,Lenovo
100e Chromebook 2nd Gen MTK,Jun-25,Lenovo
N23 Yoga Chromebook,Jun-25,Lenovo
300e Chromebook,Jun-25,Lenovo
300e Chromebook 2nd Gen,Jun-26,Lenovo
300e Chromebook 2nd Gen MTK,Jun-25,Lenovo
500e Chromebook,Jun-24,Lenovo
500e Chromebook 2nd Gen,Jun-26,Lenovo
N42 Chromebook,Jun-22,Lenovo
14e Chromebook,Jun-26,Lenovo
Ideapad S330 Chromebook,Jun-25,Lenovo
Ideapad C330 Chromebook,Jun-25,Lenovo
Yoga C630 Chromebook,Jun-25,Lenovo
Thinkpad X131e Chromebook,Jun-18,Lenovo
ThinkPad 11e Chromebook,Jun-19,Lenovo
ThinkPad 11e 3rd Gen Chromebook,Jun-22,Lenovo
ThinkPad 11e 4th Gen Chromebook,Jun-24,Lenovo
ThinkPad 13,Jun-23,Lenovo
ThinkCentre Chromebox,Jun-21,Lenovo
"Chromebase (22CB25S, 22CV241)",Jun-20,LG
Chromebook,Sep-21,M&A
Chromebook S2015,Jun-20,Medion
Chromebook Akoya S2013    ,Jun-20,Medion
Chromebook M11C,Jun-22,Multilaser
"Chromebook 11.6""",Jun-20,Nexian
Chromebook CX100,Jun-20,Ncomputing
Chromebook CX110,Jun-20,Ncomputing
Chromebook PCM-116E/PCM-116EB,Jun-20,PCMerge
Chromebook PCM-116T-432B,Jun-22,PCMerge
Chromebook AL116,Jun-24,PCMerge
Chromebook 11,Jun-20,Poin2
Chromebook 14,Jun-25,Poin2
Chromebook 11C,Jun-25,Poin2
Chromebook CH1190,Jun-20,Positivo
Chromebook C216B,Jun-22,Positivo
Chromebook N2110,Jun-24,Positivo
Chromebook N2112,Jun-24,Positivo
Chromebox,Jun-25,Promethean
Chromebook Entryline,Jun-20,Prowise
Chromebook Proline,Jun-22,Prowise
Chromebook Eduline,Jun-24,Prowise
Chromebook Eduline (MTK),Jun-25,Prowise
Chromebook Eduline360,Jun-25,Prowise
Chromebook Series 5,Jun-16,Samsung
Chromebook Series 5 550,May-17,Samsung
Chromebox Series 3,Mar-18,Samsung
Chromebook - XE303,Jul-18,Samsung
Chromebook 2 11,Jun-19,Samsung
Chromebook 2 11 - XE500C12,Sep-21,Samsung
Chromebook 2 13,Jun-19,Samsung
Chromebook 3,Jun-22,Samsung
Chromebook 4,Jun-26,Samsung
Chromebook 4+,Jun-26,Samsung
Chromebook Plus,Aug-23,Samsung
Chromebook Plus (V2),Jun-24,Samsung
Chromebook Plus (LTE),Jun-24,Samsung
Chromebook Pro,Jun-23,Samsung
E1 Rugged Chromebook,Jun-20,Sector 5
E3 Chromebook,Jun-24,Sector 5
C1101 Chromebook,Sep-21,Senkatel
Chromebook,Jun-19,Toshiba
Chromebook 2,Sep-21,Toshiba
Chromebook 2 (2015 Edition),Jun-21,Toshiba
NMP660 Chromebox,Jun-25,Viewsonic
Chromebook 11,Jun-20,Viglen
Chromebook 11C,Jun-24,Viglen
Chromebook 360,Jun-22,Viglen
Chromebook 360C,Jun-24,Viglen
